TOKEN	L1_PRIM	L1_SEC	L2_PRIM	L2_SEC	L3_PRIM	L3_SEC
bangwe	0	0	1	0	0	0
ba	0	0	0	0	0	0
ikana	0	0	0	0	1	0
go	0	0	0	0	0	0
bo	0	0	0	0	0	0
ferekanya.	0	0	0	0	0	0

Modimo	0	0	0	1	0	0
yo	0	0	0	0	0	0
ke	0	0	0	0	0	0
sa	0	0	0	0	0	0
o	0	0	0	0	0	0
direleng	0	0	0	0	0	0
sepe	0	0	0	0	0	1
o	0	0	0	1	0	0
nthuse,	0	0	1	0	1	0
ke	1	0	0	0	0	0
lo	0	0	0	0	0	0
phelele.	0	0	0	0	0	0

Nwaa	0	0	0	1	1	0
fela	0	0	0	0	0	0
mofuta	0	0	0	0	0	1
o	0	0	0	0	0	0
le	0	0	0	0	0	0
mongwe	0	0	1	0	0	0
wa	1	0	0	0	0	0
seno	0	0	0	0	0	0
sa	0	0	0	0	0	0
nnotagi	0	0	0	1	0	1
ka	0	0	0	0	0	0
nako.	0	0	0	0	0	0

Mantlentle	0	0	1	0	0	1
a	0	0	0	0	0	0
ratwa	0	0	0	1	1	0
ke	0	0	0	0	0	0
mang	0	0	0	0	0	0
le	0	0	0	0	0	0
mang	1	0	0	0	0	0
yo	0	0	0	0	0	0
o	0	0	0	0	0	0
leng	0	0	0	0	0	0
mo	0	0	0	0	0	0
botshelong.	0	0	0	0	0	0

Thoto	0	0	0	0	0	0
ya	0	0	0	0	0	0
gago	0	0	0	1	0	0
e	0	0	0	0	0	0
kgolo	0	0	1	0	0	1
ke	0	0	0	0	0	0
gore	0	0	0	0	0	0
matlhagatlhaga	0	0	0	0	1	0
a	0	0	0	0	0	0
gago	0	0	0	0	0	0
a	1	0	0	0	0	0
isega.	0	0	0	1	0	0

Beibele	0	0	0	0	1	0
ya	0	0	0	0	0	0
re	0	0	0	0	0	0
tlotla	0	0	1	0	0	1
batsadi	0	0	0	1	0	1
gore	0	0	0	0	0	0
malatsi	0	0	0	0	0	0
a	0	0	0	0	0	0
gago	0	0	0	0	0	0
a	1	0	0	0	0	0
oketsege.	0	0	0	0	0	0

Maitseboa	0	0	0	1	0	1
le	0	0	0	0	0	0
tleng	0	0	0	0	1	0
go	0	0	0	0	0	0
itisa	0	0	1	0	0	0
le	1	0	0	0	0	0
nna	0	0	0	1	0	0
re	0	0	0	0	0	0
tle	0	0	0	0	0	0
re	0	0	0	0	0	0
beseng	0	0	0	0	0	0
dikgaka.	0	0	0	0	0	0

Babadi	0	0	0	1	0	0
ba	0	0	0	0	0	0
dimitara	0	0	0	1	0	1
ba	1	0	0	0	0	0
na	0	0	0	0	0	0
le	0	0	0	0	0	0
go	0	0	0	0	0	0
dira	0	0	0	1	0	0
diphoso	0	0	1	0	1	0
ka	0	0	0	0	0	0
dinako	0	0	0	0	0	0
dingwe.	0	0	0	0	0	0

Lemoga	0	0	0	1	0	0
bokao	0	0	1	0	1	0
jo	0	0	0	0	0	0
bo	1	0	0	0	0	0
tlisiwang	0	0	0	1	0	1
ke	0	0	0	0	0	0
phetogo	0	0	0	0	0	0
ya	0	0	0	0	0	0
segalo	0	0	0	1	0	1
mo	0	0	0	0	0	0
lentsweng.	0	0	0	0	0	0

Letshwamina	0	0	0	1	0	1
re	0	0	0	0	0	0
tla	0	0	0	0	0	0
le	1	0	0	0	0	0
phetsa	0	0	1	0	1	0
gangwe	0	0	0	1	0	0
le	0	0	0	0	0	0
gape	0	0	0	1	0	0
ka	0	0	0	0	0	0
lentle	0	0	0	0	0	0
la	0	0	0	0	0	0
seatla.	0	0	0	1	0	0

o	0	0	0	0	0	0
batle	0	0	1	0	1	0
dithaka	0	0	0	0	0	0
tsa	0	0	0	0	0	0
gago,	0	0	0	0	0	0
le	0	0	0	0	0	0
nna	0	0	0	1	0	0
ke	0	0	0	0	0	0
tla	0	0	0	0	0	1
ipatlela	0	0	0	1	0	0
ba	0	0	0	0	0	0
ba	1	0	0	0	0	0
ntekaneng.	0	0	0	1	0	0

Modimo	0	0	0	0	0	1
o	0	0	0	1	1	0
mogolo	0	0	1	0	0	0
o	1	0	0	0	0	0
tlile	0	0	0	1	0	0
go	0	0	0	0	0	0
go	0	0	0	0	0	0
naya	0	0	0	0	0	0
molekane	0	0	0	1	0	0
yo	0	0	0	0	0	0
o	0	0	0	0	0	0
go	0	0	0	0	0	0
tshwanetseng.	0	0	0	1	0	0

Tsamaiso	0	0	0	0	0	1
thoto	1	0	0	0	0	1
ya	0	0	0	0	0	0
dithoto	0	0	0	1	1	0
tsotlhe	0	0	1	0	0	0
tse	0	0	0	0	0	0
di	0	0	0	0	0	0
bonweng	0	0	0	1	0	0
kana	0	0	0	0	0	1
di	0	0	0	0	0	0
rekilwe.	0	0	0	1	0	0

Anaanya	0	0	0	1	1	0
dikakanyo	0	0	0	0	0	0
a	1	0	0	1	0	0
dirisa	0	0	1	0	0	0
dithanolo.	0	0	0	1	0	0

Le	0	0	0	1	0	0
mafoko	0	0	0	0	0	0
a	0	0	0	0	0	1
a	1	0	0	1	0	0
bontshang	0	0	1	0	1	0
tiro.	0	0	0	0	0	0

Keleletso	0	0	1	0	1	0
masego	0	0	0	0	0	1
le	1	0	0	1	0	0
kamogelo.	0	0	0	0	0	0

Mo	0	0	0	0	0	1
lefatsheng	0	0	0	1	0	0
le	0	0	0	0	0	0
le	1	0	0	0	0	0
ntle	0	0	1	0	1	0
la	0	0	0	0	0	0
bojanala!	0	0	0	0	0	0

Makunutu	0	0	0	1	0	0
a	1	0	0	0	0	0
lelapa	0	0	1	0	0	0
le,	0	0	0	0	0	1
e	0	0	0	0	0	0
tlile	0	0	0	1	0	0
go	0	0	0	0	0	0
nna	0	0	0	0	0	0
dikhupamarama	0	0	0	1	1	0
tsa	0	0	0	0	0	1
bana	0	0	0	0	0	0
ba	0	0	0	0	0	0
mpa.	0	0	0	1	0	1

Letseta	0	0	0	1	0	1
le	0	0	0	0	0	1
le	1	0	0	0	0	0
bongola	0	0	1	0	0	0
le	0	0	0	0	0	0
lona.	0	0	0	1	1	0

Le	0	0	0	0	0	0
ka	0	0	0	0	0	1
dirisiwa	0	0	1	0	0	0
go	0	0	0	0	0	0
phepafatsa	0	0	0	1	0	0
phatlha.	1	0	0	1	1	0

Phasepoto	0	0	0	1	1	0
ya	0	0	0	0	0	0
ngwana,	0	0	0	0	0	0
e	0	0	0	0	0	0
neelwa	0	0	0	1	0	0
bana	0	0	0	0	0	0
ba	1	0	0	0	0	0
mengwaga	0	0	0	1	0	0
e	0	0	0	0	0	1
e	0	0	0	1	0	0
ka	0	0	0	0	0	0
fa	0	0	0	0	0	0
tlase	0	0	1	0	0	0
ga	0	0	0	0	0	0
lesome	0	0	0	0	0	0
thataro.	0	0	0	0	0	1

O	1	0	0	1	0	0
tshwanetse	0	0	1	0	1	0
go	0	0	0	0	0	0
tlatsa	0	0	0	1	0	0
foromo	0	0	0	0	0	0
A.	0	0	0	0	0	1

Mme	0	0	0	1	0	1
o	1	0	0	0	0	0
e	0	0	0	0	0	0
romele	0	0	0	1	0	0
ga	0	0	0	0	0	0
mmogo	0	0	1	0	1	0
le	0	0	0	0	0	0
foromo	0	0	0	0	0	0
A.	0	0	0	1	0	1

Fa	0	0	0	0	0	0
boladu	0	0	0	1	1	0
bo	0	0	0	0	0	0
ka	1	0	0	0	0	0
re	0	0	0	0	0	0
tlala	0	0	1	0	0	1
diatleng.	0	0	0	1	0	1

Re	0	0	0	1	0	0
tla	0	0	0	0	0	1
pateletsega	0	0	1	0	0	1
go	1	0	0	0	0	0
bo	0	0	0	0	0	0
dubeletsa.	0	0	0	1	1	0

Teta	0	0	0	1	1	0
e	1	0	0	0	0	0
tlamela	0	0	1	0	0	1
ka	0	0	0	0	0	0
eng.	0	0	0	0	0	0

Se	0	0	0	1	0	0
se	1	0	0	0	0	0
tla	0	0	0	0	0	1
nthusang	0	0	0	1	1	0
go	0	0	0	0	0	0
tokafatsa	0	0	1	0	0	0
borutegi	0	0	0	1	0	0
jwa	0	0	0	0	0	0
me?	0	0	0	0	0	1

Foo	0	0	0	0	1	0
ditshwanelo	0	0	1	0	0	1
dingwe	0	0	0	0	0	0
le	0	0	0	0	0	0
dingwe	1	0	0	0	0	0
tsa	0	0	0	0	0	0
bona	0	0	0	1	0	0
di	0	0	0	0	0	0
amegang.	0	0	0	1	0	1

Kana	0	0	0	1	1	0
di	1	0	0	0	0	0
tshosediwa.	0	0	1	0	0	1

Tswaya	0	0	0	1	0	1
mo	0	0	0	0	0	0
moleng	0	0	0	0	0	0
o	0	0	0	0	0	0
o	0	0	0	0	0	0
mo	1	0	0	0	0	0
ntlheng	0	0	0	1	1	0
ya	0	0	0	0	0	0
motsu.	0	0	0	1	0	1
Fa	0	0	0	0	0	0
go	0	0	0	0	0	0
babalesegile	0	0	1	0	0	0
go	0	0	0	0	0	0
dira	0	0	0	0	0	0
jalo.	0	0	0	0	0	1

Pelafalo	0	0	0	1	0	1
o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	0	0	0
ya	0	0	0	0	0	0
go	1	0	0	1	0	0
begwa	0	0	0	1	1	0
kwa	0	0	0	0	0	0
ntlokgolo.	0	0	1	0	0	1

Pele	0	0	1	0	1	0
a	1	0	0	0	0	0
fetisediwa	0	0	0	1	0	0
kwa	0	0	0	0	0	1
phaposing.	0	0	0	1	0	0

Seela	0	0	0	1	1	0
se	1	0	0	0	0	0
logetsa	0	0	1	0	0	1
tokololo.	0	0	0	0	0	0

Le	0	0	0	0	0	0
go	0	0	0	0	0	0
tlamela	0	0	1	0	0	1
dikotla	0	0	0	1	1	0
kwa	0	0	0	0	0	0
tokololong	0	0	0	1	0	0
le	1	0	0	0	0	0
lehihiri.	0	0	0	1	0	1

Tswelela	0	0	1	0	1	0
ka	1	0	0	0	0	0
tlhamalalo.	0	0	0	1	0	0

Go	0	0	0	1	0	0
fitlha	0	0	0	0	1	0
go	0	0	0	0	0	0
babalesegile	0	0	1	0	0	0
go	1	0	0	0	0	0
ka	0	0	0	0	0	1
dira	0	0	0	1	0	0
thetologo	0	0	0	0	0	0
ya	0	0	0	0	0	0
U.	0	0	0	1	0	1

Ga	0	0	0	0	0	1
a	0	0	0	0	0	0
ikamanye	0	0	1	0	0	0
le	0	0	0	0	0	0
ditiro	0	0	0	1	0	0
tsa	0	0	0	0	0	0
makoko	0	0	0	1	1	0
a	1	0	0	0	0	0
sepolotiki.	0	0	0	1	0	0

Mo	0	0	0	0	1	0
lefelong	0	0	0	1	0	0
la	1	0	0	0	0	0
gagwe	0	0	1	0	0	0
la	0	0	0	0	0	0
tiro.	0	0	0	1	0	1

Fagola	0	0	0	1	0	1
ditona	0	0	1	0	1	0
ka	1	0	0	0	0	0
motsi	0	0	0	0	0	0
wa	0	0	0	0	0	0
komelelo.	0	0	0	1	0	0

E	0	0	0	0	0	0
e	1	0	0	0	0	0
tswelelang	0	0	0	1	0	0
go	0	0	0	0	0	0
tila	0	0	1	0	1	0
koketsego	0	0	0	1	0	1
ya	0	0	0	0	0	0
leruo.	0	0	0	1	0	0

Lekgotlha	0	0	1	0	1	0
le	1	0	0	0	0	0
tla	0	0	0	1	0	1
go	0	0	0	0	0	0
itsise.	0	0	0	1	0	0

Fa	0	0	0	1	0	1
lekwalo	0	0	0	1	0	0
la	0	0	0	0	0	0
kopo	0	0	0	0	0	0
ya	0	0	0	0	0	0
gago	0	0	0	1	0	0
ya	1	0	0	0	0	0
go	0	0	0	0	0	0
ikwadisa	0	0	0	0	0	0
e	0	0	0	0	0	0
gannwe.	0	0	1	0	1	0

Ke	0	0	0	1	0	0
na	0	0	0	0	0	0
le	1	0	0	1	0	0
tshiamelo	0	0	1	0	1	0
ya	0	0	0	0	0	0
go	0	0	0	0	0	0
ikgethela.	0	0	0	1	0	1

Se	0	0	0	0	0	0
se	1	0	0	1	0	0
tla	0	0	0	0	1	0
nnayang	0	0	1	0	0	0
tokologo	0	0	0	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
lokologileng.	0	0	0	1	0	0

Ikolobetse	0	0	0	1	0	1
mo	0	0	0	0	0	0
bateng	0	0	0	0	1	0
mme	0	0	0	0	0	1
o	0	0	0	0	0	0
bone	0	0	0	0	0	0
galase	0	0	0	1	0	0
ya	0	0	0	0	0	0
maši	0	0	0	1	0	0
a	0	0	0	0	0	0
a	1	0	0	0	0	0
bolelo.	0	0	1	0	0	0

Pele	0	0	1	0	1	0
o	1	0	0	0	0	0
ya	0	0	0	0	0	0
kwa	0	0	0	0	0	1
bolaong.	0	0	0	1	0	0

Fa	0	0	0	0	0	0
re	0	0	0	0	0	0
bua	0	0	0	0	0	0
jaana	0	0	0	1	0	1
o	1	0	0	0	0	0
tshwaragane	0	0	1	0	1	0
le	0	0	0	0	0	0
go	0	0	0	0	0	0
kwala	0	0	0	0	0	0
padi.	0	0	0	1	0	1

A	0	0	0	1	0	0
le	0	0	0	0	0	0
mo	0	0	0	1	0	0
boikhutsong	1	0	1	0	1	0
kwa	0	0	0	0	0	0
Dinokeng.	0	0	0	0	0	1

Diporofaele	0	0	0	1	0	0
tsa	0	0	0	0	0	0
baithuti	0	0	0	1	1	0
ga	0	0	0	0	0	0
di	1	0	0	0	0	0
a	0	0	0	0	0	0
tshwanelwa	0	0	0	1	0	1
go	0	0	0	0	0	0
tlhakatlhakanngwa	0	0	1	0	0	1
le	0	0	0	0	0	0
dipotefolio.	0	0	0	0	0	0

Moremi	0	0	0	1	0	0
o	0	0	0	0	0	0
sala	0	0	0	1	1	0
a	1	0	0	0	0	0
reeditse	0	0	1	0	0	0
mmino.	0	0	0	0	0	1

A	0	0	0	0	0	0
ntse	0	0	0	1	1	0
a	1	0	0	0	0	0
phutholola	0	0	0	1	0	0
le	0	0	0	0	0	0
lokwalodikgang	0	0	0	0	0	0
la	0	0	0	0	0	1
maabane.	0	0	1	0	0	1

o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	0	0	0
etelwa	0	0	0	1	1	0
ke	0	0	0	0	0	0
motho	0	0	0	0	0	1
yo	1	0	0	0	0	0
a	0	0	0	0	0	0
mo	0	0	0	0	0	0
itseng	0	0	0	1	0	0
sentle.	0	0	1	0	0	1

Le	0	0	0	1	0	0
fa	0	0	0	0	0	1
a	1	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	1	0	0
sa	0	0	1	0	1	0
mo	0	0	0	0	0	0
solofela	0	0	0	1	0	0
ka	0	0	0	0	0	0
gope.	0	0	0	0	0	1

Tsika	0	0	0	1	1	0
o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	0	0	0
itumelela	0	0	1	0	0	1
se	1	0	0	0	0	0
a	0	0	0	0	0	0
se	0	0	0	0	0	0
bonang	0	0	0	0	0	0
e	0	0	0	0	0	0
bile	0	0	0	1	0	1
a	0	0	0	0	0	0
itse	0	0	0	0	0	0
le	0	0	0	0	0	0
go	0	0	0	0	0	0
se	0	0	0	0	0	0
tshwantshisa	0	0	0	1	0	0
sentle.	0	0	0	0	0	1

Mokgwa	0	0	1	0	0	1
wa	0	0	0	0	0	0
go	1	0	0	0	0	0
araba	0	0	0	1	0	0
dipotso	0	0	0	1	1	0
ka	0	0	0	0	0	0
go	0	0	0	0	0	0
tlhamalala.	0	0	0	0	0	1

e	0	0	0	0	0	0
seng	0	0	0	1	0	0
go	0	0	0	0	0	0
dikologa	0	0	1	0	1	0
le	0	0	0	0	0	0
go	1	0	0	0	0	0
ya	0	0	0	1	0	0
lolololo.	0	0	0	1	0	1

Patelelo	0	0	0	1	0	1
e	0	0	0	0	0	0
kgolo	0	0	1	0	1	0
ke	0	0	0	0	0	0
dikgala	0	0	0	1	0	0
tse	0	0	0	0	0	0
di	0	0	0	0	0	0
kgolo.	1	0	0	1	0	0

Mmogo	0	0	0	1	1	0
le	0	0	0	0	0	0
teteano	0	0	0	1	0	0
ya	0	0	0	0	0	0
batho	0	0	1	0	0	1
mo	1	0	0	0	0	0
porofenseng.	0	0	0	0	0	0

Ka	0	0	0	0	0	0
ngwaga,	0	0	0	1	1	0
go	0	0	0	0	0	0
fitlha	0	0	0	1	0	0
ka	0	0	0	0	0	0
go	0	0	0	0	0	0
thusana	0	0	1	0	0	1
le	0	0	0	0	0	0
maitlhomo	0	0	0	1	0	1
a	0	0	0	0	0	0
go	1	0	0	0	0	0
lwa	0	0	0	0	0	0
lo	0	0	0	0	0	0
bohuma	0	0	0	1	0	0
le	0	0	0	0	0	0
botlhokatiro.	0	0	0	0	0	0

A	0	0	0	1	0	0
mothapiwa	0	0	0	1	0	1
kgotsa	0	0	0	0	0	0
mothapi	1	0	0	1	1	0
o	0	0	0	0	0	0
tshwaragane	0	0	0	0	0	1
le	0	0	0	0	0	0
tirelo.	0	0	1	0	0	0

E	1	0	0	0	0	0
e	0	0	0	0	0	0
kaiwang	0	0	1	0	1	0
e	0	0	0	0	0	0
le	0	0	0	0	0	0
e	0	0	0	0	0	0
e	0	0	0	1	0	0
botlhokwa.	0	0	0	1	0	1

A	1	0	0	0	0	0
tshwanetse	0	0	1	0	1	0
go	0	0	0	0	0	0
nna	0	0	0	1	0	0
kwa	0	0	0	0	0	1
bogodimong.	0	0	0	0	0	0

Bo	1	0	0	0	0	0
bo	0	0	0	0	0	0
tshwanang	0	0	1	0	1	0
le	0	0	0	0	0	0
jwa	0	0	0	0	0	0
koloi	0	0	0	1	0	0
e	0	0	0	0	0	0
a	0	0	0	0	0	0
e	0	0	0	1	0	0
dirisediwang.	0	0	0	1	0	0

Barukhutlhi	0	0	0	1	1	0
ba	1	0	0	0	0	0
ne	0	0	0	0	0	0
ba	0	0	0	0	0	0
swa.	0	0	1	0	0	1

Ba	0	0	0	1	0	0
gana	0	0	0	1	1	0
go	0	0	0	0	0	0
tshwarwa	0	0	0	1	0	1
kgotsa	0	0	0	0	0	1
ba	0	0	0	0	0	0
ne	0	0	0	0	0	0
ba	1	0	0	0	0	0
sekisiwa	0	0	0	1	0	0
mme	0	0	0	0	0	1
ba	0	0	0	0	0	0
bolawa.	0	0	1	0	0	0

Pelafalo	0	0	0	1	0	0
o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	0	0	0
itheile	0	0	0	1	0	1
a	0	0	0	0	0	0
re	0	0	0	0	0	0
go	0	0	0	0	0	0
tshwara	0	0	0	1	1	0
boroko	0	0	0	0	0	0
e	1	0	0	0	0	0
tla	0	0	0	0	0	1
nna	0	0	0	0	0	0
tiro	0	0	1	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
bonolo	0	0	0	1	0	0
jaaka	0	0	0	0	0	1
gale.	0	0	0	0	0	0

Ganelela	0	0	0	1	1	0
kwa	0	0	0	0	0	0
molemeng	0	0	0	1	0	0
mme	0	0	0	0	0	1
o	0	0	0	0	0	0
nne	0	0	0	1	0	0
o	0	0	0	0	0	0
lebeletse	0	0	1	0	0	0
pharakano	0	0	0	0	0	0
go	0	0	0	0	0	0
tswa	0	0	0	0	0	1
kwa	1	0	0	0	0	0
dintlheng	0	0	0	1	0	0
tsotlhe.	0	0	0	1	0	1

Buisa	0	0	1	0	0	0
tsela	0	0	0	0	1	0
e	1	0	0	0	0	0
e	0	0	0	0	0	0
latelang	0	0	0	1	0	0
ya	0	0	0	0	0	0
tshekatsheko.	0	0	0	0	0	1

Gore	0	0	0	1	0	0
o	0	0	0	0	0	0
tle	0	0	0	0	0	0
o	1	0	0	0	0	0
tlhaloganye	0	0	0	1	1	0
diteng	0	0	1	0	0	1
tsa	0	0	0	0	0	0
terama	0	0	0	0	0	0
e.	0	0	0	1	0	1

Nako,	0	0	0	0	1	0
seno	0	0	0	0	0	0
ke	0	0	0	0	0	0
ka	0	0	0	0	0	0
ntlha	0	0	0	1	0	1
ya	0	0	0	0	0	0
fa	0	0	0	0	0	0
mmele	0	0	0	1	0	0
wa	0	0	0	0	0	0
gago	0	0	0	1	0	0
o	0	0	0	0	0	0
dirisa	0	0	0	0	0	0
maatla	0	0	0	1	0	1
a	0	0	0	0	0	0
a	1	0	0	0	0	0
kwa	0	0	0	0	0	1
tlase	0	0	1	0	0	0
go	0	0	0	0	0	0
na	0	0	0	0	0	0
le	0	0	0	0	0	0
pele.	0	0	0	1	0	1

o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	1	0	0	0	0	0
itumedisitswe	0	0	0	1	0	0
ke	0	0	0	0	0	0
kgang	0	0	1	0	1	0
e	0	0	0	0	0	0
a	0	0	0	0	0	0
sa	0	0	0	0	0	0
tswang	0	0	0	1	0	1
go	0	0	0	0	0	0
e	0	0	0	0	0	0
utlwa.	0	0	0	1	0	1

Mme	0	0	0	1	0	1
a	0	0	0	0	0	0
sa	0	0	0	0	0	0
kgone	0	0	1	0	0	0
go	0	0	0	0	0	0
e	1	0	0	0	1	0
itimokanya.	0	0	0	1	0	1

Gongwe	0	0	0	1	1	0
ga	0	0	0	1	0	0
a	0	0	0	0	0	0
itse	1	0	1	0	0	1
le	0	0	0	0	0	0
gore	0	0	0	0	0	0
ke	0	0	0	0	0	0
a	0	0	0	0	0	0
itse.	0	0	0	1	0	1

Gore	0	0	0	1	0	0
ke	0	0	0	0	0	0
mongwe	0	0	0	1	0	1
wa	0	0	0	0	0	0
ba	1	0	0	0	0	0
ba	0	0	0	0	0	0
dumedisang	0	0	0	1	1	0
ka	0	0	0	0	0	0
go	0	0	0	0	0	0
loa	0	0	1	0	0	0
ga	0	0	0	0	0	0
me.	0	0	0	0	0	1

e	0	0	0	0	0	0
mabapi	0	0	0	1	0	1
le	0	0	0	0	0	0
mabaka	0	0	0	0	1	0
otlhe	0	0	1	0	0	1
a	1	0	0	0	0	0
a	0	0	0	0	0	0
leng	0	0	0	0	0	0
botlhokwa	0	0	0	0	0	1
kgotsa	0	0	0	1	0	0
bonako	0	0	0	0	0	0
go	0	0	0	0	0	0
ka	0	0	0	0	0	0
neelana	0	0	0	1	0	0
ka	0	0	0	0	0	0
ona	0	0	0	0	0	0
gore	0	0	0	0	0	0
go...	0	0	0	0	0	1

Fa	0	0	0	1	0	0
ditiro	0	0	0	0	0	0
tse	0	0	0	0	0	0
di	0	0	0	0	0	0
siameng	0	0	1	0	1	0
di	0	0	0	0	0	0
ka	0	0	0	0	0	0
bo	0	0	0	0	0	1
di	1	0	0	0	0	0
le	0	0	0	0	0	0
dintsi.	0	0	0	1	0	1

A	0	0	0	0	0	0
o	0	0	0	0	0	0
ne	0	0	0	0	0	0
o	0	0	0	0	0	0
tla	0	0	0	1	1	0
nne	0	0	0	1	0	0
o	1	0	0	0	0	0
batla	0	0	0	1	0	1
kgwebo	0	0	0	0	0	0
ya	0	0	0	0	0	0
gago?	0	0	1	0	0	1

Fa	0	0	0	1	0	0
o	0	0	0	0	0	0
ka	0	0	0	0	0	0
bo	0	0	0	0	0	0
o	1	0	0	0	0	0
se	0	0	0	0	0	0
na	0	0	0	0	0	0
diphiri.	0	0	1	0	0	1
Nkabo	0	0	0	1	0	0
ke	0	0	0	0	0	0
sa	0	0	0	0	0	0
bolawe	0	0	0	0	0	0
ke	0	0	0	0	0	0
bojalwa	0	0	0	1	0	0
jo	0	0	0	0	1	0
o	0	0	0	0	0	0
ntswalang	0	0	0	1	0	1
molomo	0	0	0	0	0	0
ka	0	0	0	0	0	0
jona.	0	0	0	0	0	1

o	0	0	0	0	0	0
ne	0	0	0	0	0	0
a	0	0	0	0	0	0
e	0	0	0	0	0	0
bula	0	0	0	0	1	0
mme	0	0	0	1	0	1
a	0	0	0	0	0	0
batla	0	0	0	1	0	0
a	1	0	0	0	0	0
idibala	0	0	1	0	0	0
ka	0	0	0	0	0	0
nosi.	0	0	0	0	0	1

Fa	0	0	0	1	0	1
a	0	0	0	0	0	0
latlhela	0	0	0	1	0	1
matlho	0	0	0	1	1	0
mo	0	0	0	0	0	0
go	0	0	0	0	0	0
se	1	0	0	0	0	0
se	0	0	0	0	0	0
ka	0	0	0	0	0	0
mo	0	0	0	0	0	0
teng.	0	0	1	0	0	1

e	0	0	0	0	0	0
re	0	0	0	0	0	0
o	0	0	0	0	0	0
se	0	0	0	0	0	0
na	0	0	0	0	0	0
go	1	0	0	0	0	0
bofologa	0	0	1	0	0	1
o	0	0	0	0	0	0
boele	0	0	0	0	1	0
kwano	0	0	0	1	0	1
re	0	0	0	0	0	0
tle	0	0	0	0	0	0
re	0	0	0	0	0	0
kgone	0	0	0	0	0	0
go	0	0	0	0	0	0
go	0	0	0	0	0	0
naya	0	0	0	0	0	1
tlhaloso	0	0	0	0	0	0
e	0	0	0	0	0	0
e	0	0	0	0	0	0
tletseng.	0	0	0	1	0	1

o	0	0	0	0	0	0
ka	1	0	0	0	0	0
se	0	0	0	1	0	0
ka	0	0	0	1	0	0
wa	0	0	0	0	0	0
tshaba	0	0	1	0	1	0
gore	0	0	0	0	0	0
ditsala	0	0	0	0	0	0
tsa	0	0	0	0	0	0
gago	0	0	0	1	0	0
di	0	0	0	0	0	0
go	0	0	0	0	0	0
jele	0	0	0	0	0	1
nala.	0	0	0	0	0	1

Ka	0	0	0	0	0	0
gore	0	0	0	0	1	0
fa	0	0	0	0	0	0
gaeno	0	0	0	1	0	1
